,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Chabahar,IR,25.2919,60.643,69.04,67,100,11.61,overcast clouds
141,Ribeira Grande,PT,38.5167,-28.7,56.73,63,57,22.53,broken clouds
142,Hamilton,US,39.1834,-84.5333,27.45,65,0,1.01,clear sky
143,Aklavik,CA,68.2191,-135.0107,-33.77,100,97,3.22,overcast clouds
144,Normandin,CA,48.8333,-72.5321,-14.49,69,9,4.61,clear sky
145,Lulea,SE,65.5842,22.1547,33.87,80,20,4.61,few clouds
146,Bay Roberts,CA,47.5999,-53.2648,31.33,82,100,21.99,overcast clouds
147,Khandyga,RU,62.6667,135.6,-28.8,100,99,1.12,overcast clouds
148,Oksfjord,NO,70.2396,22.3479,27.52,93,100,1.95,overcast clouds
149,Bartica,GY,6.4,-58.6167,75.52,99,59,2.26,broken clouds
150,Qaanaaq,GL,77.484,-69.3632,-8.54,70,90,4.16,overcast clouds
151,Tuktoyaktuk,CA,69.4541,-133.0374,-33.86,99,25,4.54,scattered clouds
152,Lavrentiya,RU,65.5833,-171.0,-13.25,90,98,6.73,overcast clouds
153,Meulaboh,ID,4.1363,96.1285,79.47,82,20,3.47,few clouds
154,Bokoro,TD,12.3807,17.0568,66.33,23,33,8.59,scattered clouds
155,Star,US,43.6921,-116.4935,35.82,84,100,0.0,overcast clouds
156,Kangaatsiaq,GL,68.3065,-53.4641,-2.81,93,87,7.92,overcast clouds
157,Nyimba,ZM,-14.5566,30.8149,64.96,98,100,1.41,overcast clouds
158,Barra Patuca,HN,15.8,-84.2833,75.22,83,8,10.29,clear sky
159,Kamiiso,JP,41.8167,140.65,35.98,64,75,6.91,broken clouds
160,Kaduqli,SD,11.0167,29.7167,72.63,27,91,7.38,overcast clouds
161,Maarianhamina,AX,60.0973,19.9348,30.06,86,0,6.91,clear sky
162,Constitucion,CL,-35.3333,-72.4167,56.73,87,0,13.09,clear sky
163,Talnakh,RU,69.4865,88.3972,11.21,76,94,10.65,overcast clouds
164,Pulaski,US,34.7668,-92.3001,37.71,91,100,11.01,mist
165,Rurrenabaque,BO,-14.4413,-67.5278,72.9,94,95,2.33,overcast clouds
166,La Sarre,CA,48.8002,-79.1996,-8.55,90,71,9.24,broken clouds
167,Bom Jesus,BR,-9.0744,-44.3586,72.23,75,100,1.28,overcast clouds
168,Meiganga,CM,6.5167,14.3,65.77,26,100,4.0,overcast clouds
169,Namatanai,PG,-3.6667,152.4333,84.88,69,99,5.57,light rain
170,Malia,GR,35.2833,25.4667,51.82,57,7,19.51,clear sky
171,Isangel,VU,-19.55,169.2667,82.51,78,20,11.5,few clouds
172,Norman Wells,CA,65.282,-126.8329,-9.36,70,75,5.75,light snow
173,Cidreira,BR,-30.1811,-50.2056,78.33,77,96,5.91,light rain
174,Maxixe,MZ,-23.8597,35.3472,74.41,84,51,6.8,broken clouds
175,Oranjemund,NA,-28.55,16.4333,67.44,86,0,2.95,clear sky
176,Chuy,UY,-33.6971,-53.4616,74.16,91,44,7.65,moderate rain
177,Qiongshan,CN,20.0058,110.3542,73.38,88,75,8.95,broken clouds
178,Ossora,RU,59.2353,163.0719,-3.26,91,15,6.08,few clouds
179,Zima,RU,53.9202,102.0442,-13.86,99,13,3.94,few clouds
180,Abejorral,CO,5.7893,-75.4273,56.23,93,100,3.56,overcast clouds
181,Kyzyl-Suu,KG,42.3414,78.0056,29.37,58,90,7.92,overcast clouds
182,Makinsk,KZ,52.6292,70.4169,18.21,95,100,11.03,overcast clouds
183,Griffith,US,41.5284,-87.4237,24.73,75,0,4.61,clear sky
184,Bendigo,AU,-36.7667,144.2833,86.65,27,0,4.0,clear sky
185,Fuling,CN,29.7022,107.3919,48.31,76,100,2.37,moderate rain
186,Vanderhoof,CA,54.0166,-124.0198,25.68,95,91,3.06,overcast clouds
187,Waingapu,ID,-9.6567,120.2641,85.44,71,99,15.79,overcast clouds
