,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
694,San Ignacio,BZ,17.1561,-89.0714,71.74,94,0,0.0,clear sky
695,Toora-Khem,RU,52.4675,96.11,-11.94,91,100,1.68,overcast clouds
696,Lafiagi,NG,8.8667,5.4167,75.07,15,100,3.27,overcast clouds
697,Cangucu,BR,-31.395,-52.6756,72.45,64,23,7.47,few clouds
698,Werda,BW,-25.2667,23.2833,74.17,59,94,9.98,overcast clouds
699,Mansa,IN,29.9833,75.3833,48.51,59,29,5.08,scattered clouds
700,Simav,TR,39.0882,28.9777,24.03,88,18,5.21,few clouds
701,Keffi,NG,8.8486,7.8736,73.78,19,2,4.23,clear sky
702,Meadow Lake,US,34.8014,-106.5436,40.41,50,5,2.08,clear sky
703,Zhanaozen,KZ,43.3,52.8,29.1,79,97,9.4,overcast clouds
704,Ginir,ET,7.1333,40.7,58.12,61,60,2.82,broken clouds
705,Taft,IR,31.7471,54.2088,42.75,87,75,4.61,broken clouds
