City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Teknaf,BD,2021-12-30 19:19:20,20.8624,92.3058,66.27,64,51,9.55
141,San Cristobal,VE,2021-12-30 19:19:21,7.7669,-72.225,78.98,41,100,2.44
142,Camacha,PT,2021-12-30 19:19:21,33.0833,-16.3333,63.82,88,20,10.36
143,Druzhba,UA,2021-12-30 19:19:21,52.0428,33.9453,16.84,97,93,5.84
144,Hofn,IS,2021-12-30 19:19:22,64.2539,-15.2082,32.0,71,63,17.05
145,Oussouye,SN,2021-12-30 19:19:22,12.485,-16.5469,82.49,38,5,8.59
146,Viedma,AR,2021-12-30 19:19:23,-40.8135,-62.9967,75.63,15,0,14.56
147,Khorramshahr,IR,2021-12-30 19:19:23,30.4397,48.1664,55.36,100,75,4.61
148,Asfi,MA,2021-12-30 19:19:24,32.2994,-9.2372,67.33,55,0,4.27
149,Atar,MR,2021-12-30 19:19:24,20.5169,-13.0499,75.81,15,0,9.98
150,Caravelas,BR,2021-12-30 19:19:24,-17.7125,-39.2481,82.44,66,48,8.28
151,Clyde River,CA,2021-12-30 19:19:25,70.4692,-68.5914,-16.37,76,40,12.66
152,Takoradi,GH,2021-12-30 19:19:25,4.8845,-1.7554,81.7,81,5,10.07
153,Pevek,RU,2021-12-30 19:19:26,69.7008,170.3133,-14.51,95,100,2.86
154,Avarua,CK,2021-12-30 19:19:26,-21.2078,-159.775,80.65,78,20,12.66
155,Atbasar,KZ,2021-12-30 19:19:27,51.8,68.3333,-3.05,92,100,5.68
156,Namibe,AO,2021-12-30 19:19:27,-15.1961,12.1522,72.43,74,49,4.21
157,Grand Gaube,MU,2021-12-30 19:19:27,-20.0064,57.6608,77.4,66,55,4.0
158,Cabo San Lucas,MX,2021-12-30 19:18:45,22.8909,-109.9124,83.52,73,94,4.38
159,Coahuayana,MX,2021-12-30 19:19:28,18.7333,-103.6833,86.76,46,0,6.2
160,Pringsewu,ID,2021-12-30 19:19:28,-5.3582,104.9744,73.96,95,100,2.71
161,Flin Flon,CA,2021-12-30 19:19:29,54.7682,-101.865,-23.96,69,20,3.44
162,Tasiilaq,GL,2021-12-30 19:19:29,65.6145,-37.6368,12.36,53,0,5.28
163,Kucura,RS,2021-12-30 19:19:29,45.5195,19.5838,42.82,90,94,4.83
164,Fakse Ladeplads,DK,2021-12-30 19:19:30,55.2198,12.1701,49.01,98,100,16.11
165,Hay River,CA,2021-12-30 19:19:30,60.8156,-115.7999,-27.42,75,75,8.05
166,Nicoya,CR,2021-12-30 19:19:31,10.1483,-85.452,90.95,46,66,5.44
167,Kodiak,US,2021-12-30 19:19:31,57.79,-152.4072,35.58,91,100,5.39
168,Moate,IE,2021-12-30 19:19:31,53.55,-7.7167,54.12,99,100,4.47
169,Miyako,JP,2021-12-30 19:19:32,39.6367,141.9525,24.08,79,14,9.73
170,Monrovia,LR,2021-12-30 19:17:03,6.3005,-10.7969,83.97,78,19,11.56
171,Cidreira,BR,2021-12-30 19:19:32,-30.1811,-50.2056,75.94,75,89,21.72
172,Aksha,RU,2021-12-30 19:19:33,50.2814,113.2867,-6.21,95,100,0.87
173,Ambilobe,MG,2021-12-30 19:19:33,-13.2,49.05,77.38,83,100,2.89
174,Sambava,MG,2021-12-30 19:19:33,-14.2667,50.1667,79.12,85,100,12.93
175,Kaeo,NZ,2021-12-30 19:16:21,-35.1,173.7833,62.33,85,6,6.49
176,Barrow,US,2021-12-30 19:19:34,71.2906,-156.7887,-21.98,76,1,4.61
177,Kavieng,PG,2021-12-30 19:19:34,-2.5744,150.7967,82.99,77,100,13.31
178,Rawson,AR,2021-12-30 19:19:35,-43.3002,-65.1023,72.7,26,7,11.63
179,Portland,US,2021-12-30 19:19:35,45.5234,-122.6762,41.45,93,90,4.0
180,Muros,ES,2021-12-30 19:19:36,42.7762,-9.0603,57.24,90,37,18.54
181,Tual,ID,2021-12-30 19:19:36,-5.6667,132.75,82.72,79,100,12.84
182,Kharp,RU,2021-12-30 19:20:36,66.8014,65.8081,-20.15,95,40,4.03
183,Waipawa,NZ,2021-12-30 19:20:37,-41.4122,175.5153,60.93,83,100,0.74
184,Saldanha,ZA,2021-12-30 19:20:37,-33.0117,17.9442,64.45,75,7,19.91
185,Matamoros,MX,2021-12-30 19:20:38,25.5333,-103.25,74.1,34,51,3.11
186,Thunder Bay,CA,2021-12-30 19:17:18,48.4001,-89.3168,12.29,74,90,0.0
187,Vestmanna,FO,2021-12-30 19:20:38,62.1564,-7.1664,38.32,87,90,21.85
188,Lerwick,GB,2021-12-30 19:20:38,60.1545,-1.1494,48.2,91,85,18.77
189,Vila Velha,BR,2021-12-30 19:20:39,-20.3297,-40.2925,80.55,82,20,10.0
190,Kupang,ID,2021-12-30 19:20:39,-10.1667,123.5833,79.09,84,100,6.2
191,Petatlan,MX,2021-12-30 19:20:39,17.5167,-101.2667,87.6,54,0,6.29
192,Raghogarh,IN,2021-12-30 19:20:40,24.45,77.2,50.05,83,0,7.45
193,Narsaq,GL,2021-12-30 19:20:40,60.9167,-46.05,14.22,56,32,7.36
194,Sorland,NO,2021-12-30 19:20:41,67.667,12.6934,35.46,74,100,12.68
195,Sitka,US,2021-12-30 19:20:41,57.0531,-135.33,30.09,64,40,3.44
196,Fairbanks,US,2021-12-30 19:20:41,64.8378,-147.7164,9.1,82,75,0.0
197,Fort Nelson,CA,2021-12-30 19:20:42,58.8053,-122.7002,-17.01,76,20,0.0
198,Prudentopolis,BR,2021-12-30 19:20:42,-25.2131,-50.9778,73.0,67,98,3.89
199,Torbay,CA,2021-12-30 19:20:42,47.6666,-52.7314,32.77,91,75,1.01
200,Chuy,UY,2021-12-30 19:20:43,-33.6971,-53.4616,80.47,61,3,15.21
201,Ancud,CL,2021-12-30 19:20:43,-41.8697,-73.8203,67.42,60,35,12.93
202,Asau,RO,2021-12-30 19:20:44,46.4333,26.4,25.75,93,100,6.29
203,Virginia Beach,US,2021-12-30 19:17:10,36.8529,-75.978,55.62,97,90,5.75
204,Kuwana,JP,2021-12-30 19:20:44,35.0667,136.7,39.33,85,100,13.22
205,Odweyne,SO,2021-12-30 19:20:44,9.4092,45.064,67.89,58,15,5.17
206,Opuwo,NA,2021-12-30 19:20:45,-18.0607,13.84,73.89,31,56,11.32
207,Ulaangom,MN,2021-12-30 19:20:45,49.9811,92.0667,-4.92,99,100,0.96
208,Carmarthen,GB,2021-12-30 19:20:45,51.8555,-4.3054,56.89,94,90,28.77
209,Nador,MA,2021-12-30 19:20:46,35.174,-2.9287,57.45,94,0,6.91
210,Gazanjyk,TM,2021-12-30 19:20:46,39.2446,55.5154,41.0,51,14,6.85
211,Mormugao,IN,2021-12-30 19:20:47,15.4,73.8,76.26,78,20,5.75
212,Ahuimanu,US,2021-12-30 19:20:47,21.4447,-157.8378,74.19,80,90,4.0
213,Bougouni,ML,2021-12-30 19:20:47,11.417,-7.479,82.17,14,0,4.36
214,Saskylakh,RU,2021-12-30 19:20:48,71.9167,114.0833,-34.33,100,26,3.69
215,Chokurdakh,RU,2021-12-30 19:20:48,70.6333,147.9167,-26.18,99,100,4.97
216,Talavera De La Reina,ES,2021-12-30 19:20:49,39.9635,-4.8308,50.7,72,1,4.38
217,Palmer,US,2021-12-30 19:20:49,42.1584,-72.3287,45.63,83,75,0.0
218,Skjervoy,NO,2021-12-30 19:20:49,70.0311,20.9714,28.58,69,100,17.63
219,Margate,GB,2021-12-30 19:20:50,51.3813,1.3862,57.96,82,100,3.0
220,Bengkulu,ID,2021-12-30 19:20:50,-3.8004,102.2655,75.0,92,100,4.32
221,Gonen,TR,2021-12-30 19:20:50,40.1049,27.654,53.02,57,100,14.12
222,Dunedin,NZ,2021-12-30 19:19:00,-45.8742,170.5036,50.81,75,100,5.1
223,Kontagora,NG,2021-12-30 19:20:51,10.3999,5.4695,79.48,19,10,3.85
224,San Patricio,US,2021-12-30 19:20:51,28.017,-97.5169,83.93,54,2,6.58
225,Brae,GB,2021-12-30 19:20:52,60.3964,-1.353,48.11,90,90,17.76
226,Bilma,NE,2021-12-30 19:20:52,18.6853,12.9164,67.37,24,0,7.96
227,Male,MV,2021-12-30 19:20:52,4.1748,73.5089,81.7,73,100,12.8
228,Tazovskiy,RU,2021-12-30 19:21:53,67.4667,78.7,-24.21,100,92,6.15
229,Dunda,TZ,2021-12-30 19:21:53,-8.1167,34.25,70.12,72,97,6.64
230,Izvoarele,RO,2021-12-30 19:21:54,45.0333,25.2667,39.04,99,96,3.53
231,Provideniya,RU,2021-12-30 19:21:54,64.3833,-173.3,-5.93,88,91,14.34
232,Vallenar,CL,2021-12-30 19:21:54,-28.5708,-70.7581,82.13,37,0,12.68
233,Lanxi,CN,2021-12-30 19:21:55,29.2195,119.477,38.52,56,0,4.32
234,Mahebourg,MU,2021-12-30 19:21:55,-20.4081,57.7,77.29,65,20,9.22
235,Aklavik,CA,2021-12-30 19:21:56,68.2191,-135.0107,-25.6,75,75,3.44
236,Port Shepstone,ZA,2021-12-30 19:21:56,-30.7414,30.455,70.56,91,100,21.21
237,Luebo,CD,2021-12-30 19:21:57,-5.35,21.4167,70.65,97,100,1.34
238,Georgetown,MY,2021-12-30 19:21:57,5.4112,100.3354,78.73,92,40,3.44
239,Vernon,CA,2021-12-30 19:21:11,50.2581,-119.2691,13.3,75,96,1.01
240,Kharod,IN,2021-12-30 19:21:58,21.75,82.5667,62.42,70,0,6.17
241,Puerto Escondido,MX,2021-12-30 19:21:58,15.85,-97.0667,83.82,51,0,7.23
242,Adre,TD,2021-12-30 19:21:59,13.4667,22.2,72.48,25,11,7.85
243,Montijo,PT,2021-12-30 19:21:59,38.7067,-8.9739,60.08,88,0,3.44
244,Yumen,CN,2021-12-30 19:21:59,40.2833,97.2,20.68,45,20,20.2
245,San Felipe,VE,2021-12-30 19:22:00,10.3399,-68.7425,83.3,56,100,9.44
246,Svetlogorsk,BY,2021-12-30 19:22:00,52.6333,29.7333,24.51,96,100,8.05
247,Aykhal,RU,2021-12-30 19:22:01,66.0,111.5,-23.12,96,10,1.12
248,Longyearbyen,SJ,2021-12-30 19:21:34,78.2186,15.6401,4.84,66,0,11.5
249,Pozo Colorado,PY,2021-12-30 19:22:01,-23.4923,-58.7972,98.42,34,7,12.28
250,Dongning,CN,2021-12-30 19:22:01,44.0622,131.1207,-8.95,74,20,12.73
251,Sioux Lookout,CA,2021-12-30 19:22:02,50.1001,-91.917,-9.02,77,90,3.44
252,Mareeba,AU,2021-12-30 19:22:02,-17.0,145.4333,71.44,89,14,3.13
253,Hambantota,LK,2021-12-30 19:22:03,6.1241,81.1185,76.21,90,11,13.06
254,Hamilton,US,2021-12-30 19:21:59,39.1834,-84.5333,51.12,92,90,1.01
255,Sisimiut,GL,2021-12-30 19:22:03,66.9395,-53.6735,11.32,77,100,4.63
256,Horta,PT,2021-12-30 19:22:04,38.5333,-28.6333,62.24,94,75,28.77
257,San Quintin,MX,2021-12-30 19:22:04,30.4833,-115.95,62.91,68,95,18.07
258,Almaznyy,RU,2021-12-30 19:22:04,48.0448,40.045,30.34,95,99,3.27
259,Avera,US,2021-12-30 19:22:05,33.194,-82.5271,80.44,71,100,13.0
260,Vardo,NO,2021-12-30 19:22:05,70.3705,31.1107,30.18,74,75,18.41
261,Segou,ML,2021-12-30 19:22:05,13.4317,-6.2157,80.89,11,0,8.28
262,Zyryanka,RU,2021-12-30 19:22:06,65.75,150.85,-24.18,98,100,3.2
263,Rio Grande,BR,2021-12-30 19:22:06,-32.035,-52.0986,86.11,66,0,21.59
264,Kortkeros,RU,2021-12-30 19:22:07,61.8106,51.5806,12.2,94,100,7.9
265,Abrau-Dyurso,RU,2021-12-30 19:22:07,44.69,37.59,36.86,80,41,5.28
266,Fuerte,PH,2021-12-30 19:22:08,17.5381,120.3644,71.46,71,0,9.37
267,Yulara,AU,2021-12-30 19:22:08,-25.2406,130.9889,78.64,24,75,9.22
268,Upernavik,GL,2021-12-30 19:22:09,72.7868,-56.1549,-13.68,99,66,13.15
269,Kushiro,JP,2021-12-30 19:22:09,42.975,144.3747,23.38,65,77,14.76
270,Hinton,CA,2021-12-30 19:23:09,53.4001,-117.5857,1.11,89,100,4.0
271,Nyurba,RU,2021-12-30 19:23:10,63.2842,118.3319,-38.78,100,94,2.86
272,Saint-Louis,SN,2021-12-30 19:23:10,16.3333,-15.0,82.38,11,0,8.39
273,Rorvik,NO,2021-12-30 19:23:10,64.8621,11.2373,32.11,93,75,6.91
274,Kothen,DE,2021-12-30 19:23:11,51.75,11.9667,58.75,82,100,16.53
275,Moose Factory,CA,2021-12-30 19:23:11,51.2585,-80.6094,6.8,66,90,13.8
